iter	MultiClass
0	2.230003929
1	2.158140328
2	2.106330626
3	2.043993848
4	1.992859627
5	1.933174407
6	1.884616966
7	1.842191859
8	1.802936047
9	1.767355259
10	1.736211398
11	1.707020581
12	1.676000225
13	1.643051644
14	1.617110459
15	1.590712774
16	1.563064301
17	1.536445446
18	1.512808625
19	1.489170496
20	1.469596965
21	1.450614175
22	1.433571414
23	1.413858636
24	1.393374883
25	1.373556539
26	1.358406379
27	1.342317068
28	1.321923121
29	1.308931116
30	1.297034977
31	1.282804078
32	1.267403653
33	1.253309511
34	1.23997111
35	1.222675942
36	1.212921663
37	1.203315055
38	1.1904327
39	1.176271396
40	1.164798564
41	1.153920198
42	1.144210177
43	1.133493211
44	1.122451755
45	1.110948793
46	1.100070548
47	1.08863779
48	1.078061595
49	1.067787782
50	1.061242821
51	1.052560488
52	1.04400859
53	1.035860855
54	1.028455359
55	1.022675739
56	1.012800329
57	1.004051014
58	0.9966337571
59	0.9905206934
60	0.9824744499
61	0.9752173354
62	0.966863645
63	0.9603099353
64	0.9531776401
65	0.9475846446
66	0.9409741098
67	0.9338605802
68	0.9254904387
69	0.9186427459
70	0.910657145
71	0.9043604374
72	0.8964842755
73	0.8896169552
74	0.8816211179
75	0.8755948907
76	0.868676041
77	0.8621834531
78	0.8559979913
79	0.8504280014
80	0.8445352037
81	0.8391219952
82	0.8331640922
83	0.8269363319
84	0.8214277976
85	0.8161139295
86	0.8118518725
87	0.8053526202
88	0.7998935106
89	0.7944945051
90	0.789199998
91	0.7829886334
92	0.7792026368
93	0.7737859932
94	0.7681620749
95	0.7617979033
96	0.7578427034
97	0.7545611635
98	0.7508698342
99	0.7477592239
100	0.7429006997
101	0.7389861382
102	0.7342579787
103	0.7286778196
104	0.7251292448
105	0.7205351412
106	0.7170562847
107	0.712200378
108	0.7094418903
109	0.7062040059
110	0.7028399747
111	0.6988060272
112	0.6939948592
113	0.6893976668
114	0.6847643638
115	0.6809528135
116	0.677396484
117	0.674478957
118	0.6717878933
119	0.6686705517
120	0.6652784911
121	0.6628848657
122	0.6586145546
123	0.6552774414
124	0.6530878087
125	0.6487100017
126	0.6446266037
127	0.6424916394
128	0.6393612435
129	0.6352515211
130	0.6320643475
131	0.6288422061
132	0.6246732124
133	0.6209353284
134	0.6173080354
135	0.614126715
136	0.6103920364
137	0.6081068235
138	0.6048737658
139	0.6019246935
140	0.5991221723
141	0.5954042566
142	0.5929832523
143	0.5914070163
144	0.5885405574
145	0.5853775621
146	0.5813719884
147	0.5785629898
148	0.5755718276
149	0.5725336204
150	0.5700380678
151	0.5674160479
152	0.5650432091
153	0.562390681
154	0.5588219797
155	0.5559012469
156	0.5534253584
157	0.5503152773
158	0.5468139263
159	0.543617242
160	0.5411941723
161	0.5383230381
162	0.5361224506
163	0.5335654787
164	0.5305987033
165	0.528917616
166	0.5265946322
167	0.5242239654
168	0.5215712135
169	0.5190075159
170	0.5162914945
171	0.5137591131
172	0.5104902681
173	0.5086504664
174	0.506285509
175	0.5033908862
176	0.501007964
177	0.4988603833
178	0.4960252211
179	0.4939421121
180	0.4923924926
181	0.4908569427
182	0.4892694474
183	0.4874202293
184	0.4855219828
185	0.483928733
186	0.4822059424
187	0.4805383163
188	0.4798149557
189	0.4778125102
190	0.4759721693
191	0.4742588614
192	0.4727184333
193	0.4703261071
194	0.4678736698
195	0.4653043603
196	0.4630144155
197	0.4612857235
198	0.458406132
199	0.4567349895
200	0.4550349112
201	0.4531999662
202	0.4512465286
203	0.4500070576
204	0.4485515463
205	0.4469154248
206	0.44529525
207	0.4437761627
208	0.4427453048
209	0.4407946712
210	0.4391402766
211	0.4364005609
212	0.4341822569
213	0.4324198912
214	0.4309220288
215	0.4294466056
216	0.4272445325
217	0.4255034848
218	0.4238720271
219	0.4212591509
220	0.418917203
221	0.4174387892
222	0.4160460734
223	0.4139601432
224	0.4121697819
225	0.4114187393
226	0.4095387029
227	0.4077136269
228	0.405582636
229	0.4036612616
230	0.4022962505
231	0.4001485489
232	0.3985114982
233	0.3978127866
234	0.3957526194
235	0.3935788064
236	0.3925886215
237	0.3911547141
238	0.389688376
239	0.3879107504
240	0.3864008638
241	0.3848307411
242	0.3836114292
243	0.3817418067
244	0.3799718647
245	0.3781721737
246	0.376691494
247	0.3746945323
248	0.3725905827
249	0.3712051458
250	0.3694330999
251	0.3683633091
252	0.3667007405
253	0.3652667103
254	0.3636143923
255	0.3620548281
256	0.360244058
257	0.358831225
258	0.3577829802
259	0.3562069876
260	0.3554589739
261	0.3543577501
262	0.352981299
263	0.3520637795
264	0.3508090286
265	0.349339448
266	0.3478786208
267	0.3462680173
268	0.3444400019
269	0.3428902586
270	0.3418355041
271	0.339695162
272	0.3388067632
273	0.3382370122
